index,Author,Title,Type of Ban,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge
2491,"Wittlinger, Ellen",Saturdays with Hitchcock,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
2492,"Witton, Hannah",Doing It!: Let's Talk About Sex,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administrator
2493,"Witton, Hannah",Doing It!: Let's Talk About Sex,Banned Pending Investigation,,,,Florida,Walton County School District,April 2022,Administrator
2494,"Witton, Hannah",Doing It!: Let's Talk About Sex,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
2495,"Woods, Brenda",My Name Is Sally Little Song,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administrator
2496,"Woods, Sara",Identifying as Transgender,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
2497,"Woodson, Jacqueline",Before the Ever After,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
2498,"Woodson, Jacqueline",Beneath a Meth Moon: An Elegy,Banned in Libraries,,,,Florida,Lee County Schools,May 2022,Administrator
2499,"Woodson, Jacqueline",Brown Girl Dreaming,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
2500,"Woodson, Jacqueline",Each Kindness,Banned in Classrooms,,"Lewis, E.B.",,Pennsylvania,Central York School District,August 2021,Administrator
2501,"Woodson, Jacqueline",El Día En Que Descubres Quién Eres,Banned in Classrooms,,"López, Rafael","Mlawer, Teresa",Pennsylvania,Central York School District,August 2021,Administrator
2502,"Woodson, Jacqueline",Red at the Bone,Banned in Classrooms,,,,Texas,Leander Independent School District,September 2021,Administrator
2503,"Woodson, Jacqueline",Red at the Bone,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
2504,"Woodson, Jacqueline",The Day You Begin,Banned in Classrooms,,"López, Rafael",,Pennsylvania,Central York School District,August 2021,Administrator
2505,"Woodson, Jacqueline",The Dear One,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
2506,"Woodson, Jacqueline",The House You Pass on the Way,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
2507,"Woodson, Jacqueline",The House You Pass on the Way,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
2508,"Woodson, Jacqueline",The Other Side,Banned in Classrooms,,"Lewis, E.B.",,Pennsylvania,Central York School District,August 2021,Administrator
2509,"World Book, Inc.",Understanding Sexuality,Banned Pending Investigation,,,,Texas,Fredericksburg Independent School District,March 2022,Administrator
2510,"Worth, Richard","Life at School and in the Community (Teens: Being Gay, Lesbian, Bisexual, or Transgender)",Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
2511,"Worthington, Michelle",Noah Chases the Wind,Banned in Classrooms,,"Cowman, Joseph",,Pennsylvania,Central York School District,August 2021,Administrator
2512,"Wright, Bil",Putting Makeup on the Fat Boy,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator
2513,"Wyeth, Sharon Dennis",Always my Dad,Banned in Classrooms,,"Coln, Raul",,Pennsylvania,Central York School District,August 2021,Administrator
2514,"Wyeth, Sharon Dennis",Orphea Proud,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator
2515,"Yang, Gene Luen",American Born Chinese,Banned in Libraries,,,,Mississippi,Madison County Schools,April 2022,Administrator
2516,"Yang, Kelly",Front Desk (Front Desk Series),Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
2517,"Yang, Kelly",Front Desk (Front Desk Series),Banned Pending Investigation,,,,Tennessee,Hamilton County Schools,October 2021,Administrator
2518,"Yang, Kelly",Parachutes,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
2519,"Yep, Laurence",Dragonwings,Banned in Classrooms,,,,Tennessee,Blount County Schools,February 2022,Formal Challenge
2520,Yin,Coolies,Banned Pending Investigation,,"Soentpiet, Chris K.",,Florida,Duval County Public Schools,January 2022,Administrator
2521,"Yolen, Jane",Encounter,Banned in Classrooms,,"Shannon, David",,Pennsylvania,Central York School District,August 2021,Administrator
2522,"Young, Cathy",One Hot Second: Stories About Desire,Banned Pending Investigation,"Armstrong, Jennifer; Wittlinger, Ellen; Woodson, Jacqueline; Dessen, Sarah; Donoghue, Emma; Garden, Nancy; Johnson, Angela; Martinez, Victor; Mazer, Norma Fox; Vail, Rachel; Wallace, Rich",,,Texas,Fredericksburg Independent School District,March 2022,Administrator
2523,"Yousafzai, Malala",Malala: My Story of Standing Up for Girls' Rights,Banned in Classrooms,"McCormick, Patricia; Robbins, Sarah J.","Stone, Joanie",,Pennsylvania,Central York School District,August 2021,Administrator
2524,"Yousafzai, Malala",Malala's Magic Pencil,Banned in Classrooms,,Kerascoët,,Pennsylvania,Central York School District,August 2021,Administrator
2525,"Zabarsky, Jessi",Witchlight,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator
2526,"Zeldis McDonough, Yona",Who Was Sojourner Truth? (Who was...? Series),Banned in Classrooms,,"Eldridge, Jim",,Pennsylvania,Central York School District,August 2021,Administrator
2527,"Zia, Farhana",The Garden of My Imaan,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administrator
2528,"Ziemke, Kristin",Read the World: Rethinking Literacy for Empathy and Action in a Digital Age,Banned in Classrooms,"Muhtaris, Katie",,,Pennsylvania,Central York School District,August 2021,Administrator
2529,"Zoboi, Ibi",American Street,Banned in Classrooms,,,,Pennsylvania,Pennridge School District,August 2021,Administrator
2530,"Zoboi, Ibi",Black Enough: Stories of Being Young & Black in America,Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator
2531,"Zunon, Elizabeth","Grandpa Cacao: A Tale of Chocolate, from Farm to Family",Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator
2532,,,,,,,,,,
2533,,,,,,,,,,
2534,,,,,,,,,,
2535,,,,,,,,,,
2536,,,,,,,,,,
2537,,,,,,,,,,
2538,,,,,,,,,,
2539,,,,,,,,,,
2540,,,,,,,,,,
2541,,,,,,,,,,
2542,,,,,,,,,,
2543,,,,,,,,,,
2544,,,,,,,,,,
2545,,,,,,,,,,
2546,,,,,,,,,,
2547,,,,,,,,,,
2548,,,,,,,,,,
2549,,,,,,,,,,
2550,,,,,,,,,,
2551,,,,,,,,,,
2552,,,,,,,,,,
2553,,,,,,,,,,
2554,,,,,,,,,,
2555,,,,,,,,,,
2556,,,,,,,,,,
2557,,,,,,,,,,
2558,,,,,,,,,,
2559,,,,,,,,,,
2560,,,,,,,,,,
2561,,,,,,,,,,
2562,,,,,,,,,,
2563,,,,,,,,,,
2564,,,,,,,,,,
2565,,,,,,,,,,
2566,,,,,,,,,,
2567,,,,,,,,,,
2568,,,,,,,,,,
2569,,,,,,,,,,
2570,,,,,,,,,,
2571,,,,,,,,,,
2572,,,,,,,,,,
2573,,,,,,,,,,
2574,,,,,,,,,,
2575,,,,,,,,,,
2576,,,,,,,,,,
2577,,,,,,,,,,
2578,,,,,,,,,,
2579,,,,,,,,,,
2580,,,,,,,,,,
2581,,,,,,,,,,
2582,,,,,,,,,,
2583,,,,,,,,,,
2584,,,,,,,,,,
2585,,,,,,,,,,
2586,,,,,,,,,,
2587,,,,,,,,,,
2588,,,,,,,,,,
2589,,,,,,,,,,
2590,,,,,,,,,,
2591,,,,,,,,,,
2592,,,,,,,,,,
2593,,,,,,,,,,
2594,,,,,,,,,,
2595,,,,,,,,,,
2596,,,,,,,,,,
2597,,,,,,,,,,
2598,,,,,,,,,,
2599,,,,,,,,,,
2600,,,,,,,,,,
2601,,,,,,,,,,
2602,,,,,,,,,,
2603,,,,,,,,,,
2604,,,,,,,,,,
2605,,,,,,,,,,
2606,,,,,,,,,,
2607,,,,,,,,,,
2608,,,,,,,,,,
2609,,,,,,,,,,
2610,,,,,,,,,,
2611,,,,,,,,,,
2612,,,,,,,,,,
2613,,,,,,,,,,
2614,,,,,,,,,,
2615,,,,,,,,,,
2616,,,,,,,,,,
2617,,,,,,,,,,
2618,,,,,,,,,,
2619,,,,,,,,,,
2620,,,,,,,,,,
2621,,,,,,,,,,
